 380: max:0.714, min:0.571, mean:0.657
 381: max:0.714, min:0.536, mean:0.655
 382: max:0.714, min:0.536, mean:0.656
 383: max:0.714, min:0.571, mean:0.660
 384: max:0.786, min:0.536, mean:0.653
 385: max:0.714, min:0.536, mean:0.645
 386: max:0.679, min:0.536, mean:0.644
 387: max:0.714, min:0.571, mean:0.641
 388: max:0.714, min:0.571, mean:0.637
 389: max:0.714, min:0.464, mean:0.632
 390: max:0.714, min:0.536, mean:0.636
 391: max:0.714, min:0.536, mean:0.637
 392: max:0.714, min:0.536, mean:0.641
 393: max:0.714, min:0.536, mean:0.641
 394: max:0.714, min:0.571, mean:0.644
 395: max:0.714, min:0.536, mean:0.640
 396: max:0.714, min:0.500, mean:0.641
 397: max:0.714, min:0.536, mean:0.647
 398: max:0.714, min:0.536, mean:0.636
 399: max:0.714, min:0.536, mean:0.639
 400: max:0.714, min:0.536, mean:0.637
 401: max:0.714, min:0.571, mean:0.642
 402: max:0.714, min:0.500, mean:0.640
 403: max:0.714, min:0.536, mean:0.646
 404: max:0.714, min:0.536, mean:0.645
 405: max:0.714, min:0.536, mean:0.641
 406: max:0.714, min:0.500, mean:0.644
 407: max:0.714, min:0.500, mean:0.633
 408: max:0.714, min:0.536, mean:0.638
 409: max:0.714, min:0.500, mean:0.643
 410: max:0.714, min:0.571, mean:0.643
 411: max:0.714, min:0.536, mean:0.639
 412: max:0.714, min:0.500, mean:0.636
 413: max:0.679, min:0.536, mean:0.623
 414: max:0.714, min:0.500, mean:0.623
 415: max:0.679, min:0.464, mean:0.624
 416: max:0.679, min:0.536, mean:0.626
 417: max:0.679, min:0.500, mean:0.624
 418: max:0.679, min:0.536, mean:0.626
 419: max:0.679, min:0.536, mean:0.627
 420: max:0.714, min:0.500, mean:0.621
 421: max:0.714, min:0.536, mean:0.625
 422: max:0.714, min:0.500, mean:0.621
 423: max:0.714, min:0.536, mean:0.618
 424: max:0.714, min:0.500, mean:0.625
 425: max:0.714, min:0.536, mean:0.625
 426: max:0.714, min:0.500, mean:0.630
 427: max:0.714, min:0.536, mean:0.632
 428: max:0.714, min:0.500, mean:0.634
 429: max:0.714, min:0.500, mean:0.632
 430: max:0.714, min:0.500, mean:0.633
 431: max:0.714, min:0.500, mean:0.635
 432: max:0.714, min:0.500, mean:0.641
 433: max:0.714, min:0.571, mean:0.648
 434: max:0.714, min:0.500, mean:0.641
 435: max:0.714, min:0.536, mean:0.642
 436: max:0.714, min:0.536, mean:0.636
 437: max:0.714, min:0.536, mean:0.641
 438: max:0.714, min:0.536, mean:0.641
 439: max:0.714, min:0.464, mean:0.642
 440: max:0.714, min:0.536, mean:0.642
 441: max:0.714, min:0.500, mean:0.644
 442: max:0.714, min:0.571, mean:0.649
 443: max:0.714, min:0.536, mean:0.655
 444: max:0.750, min:0.571, mean:0.656
 445: max:0.750, min:0.536, mean:0.652
 446: max:0.714, min:0.536, mean:0.645
 447: max:0.714, min:0.536, mean:0.644
 448: max:0.714, min:0.536, mean:0.648
 449: max:0.714, min:0.536, mean:0.649
 450: max:0.714, min:0.500, mean:0.654
 451: max:0.714, min:0.536, mean:0.650
 452: max:0.714, min:0.536, mean:0.645
 453: max:0.714, min:0.536, mean:0.646
 454: max:0.750, min:0.500, mean:0.649
 455: max:0.714, min:0.536, mean:0.646
 456: max:0.714, min:0.536, mean:0.644
 457: max:0.714, min:0.571, mean:0.644
 458: max:0.714, min:0.536, mean:0.649
 459: max:0.714, min:0.536, mean:0.647
 460: max:0.714, min:0.536, mean:0.646
 461: max:0.714, min:0.536, mean:0.636
 462: max:0.714, min:0.500, mean:0.632
 463: max:0.714, min:0.464, mean:0.626
 464: max:0.714, min:0.500, mean:0.625
 465: max:0.679, min:0.464, mean:0.625
 466: max:0.679, min:0.500, mean:0.618
 467: max:0.714, min:0.500, mean:0.624
 468: max:0.714, min:0.500, mean:0.626
 469: max:0.714, min:0.500, mean:0.628
 470: max:0.750, min:0.536, mean:0.636
 471: max:0.750, min:0.536, mean:0.638
 472: max:0.750, min:0.536, mean:0.641
 473: max:0.750, min:0.536, mean:0.638
 474: max:0.714, min:0.536, mean:0.631
 475: max:0.714, min:0.500, mean:0.635
 476: max:0.714, min:0.500, mean:0.639
 477: max:0.714, min:0.536, mean:0.640
 478: max:0.714, min:0.536, mean:0.638
 479: max:0.714, min:0.464, mean:0.629
 480: max:0.714, min:0.500, mean:0.632
 481: max:0.714, min:0.536, mean:0.642
 482: max:0.714, min:0.500, mean:0.640
 483: max:0.679, min:0.536, mean:0.638
 484: max:0.679, min:0.536, mean:0.630
 485: max:0.679, min:0.536, mean:0.630
 486: max:0.714, min:0.536, mean:0.624
 487: max:0.679, min:0.500, mean:0.616
 488: max:0.679, min:0.536, mean:0.613
 489: max:0.679, min:0.536, mean:0.619
 490: max:0.679, min:0.536, mean:0.614
 491: max:0.679, min:0.500, mean:0.611
 492: max:0.679, min:0.464, mean:0.614
 493: max:0.679, min:0.464, mean:0.613
 494: max:0.679, min:0.500, mean:0.614
 495: max:0.679, min:0.464, mean:0.607
 496: max:0.679, min:0.464, mean:0.605
 497: max:0.679, min:0.500, mean:0.604
 498: max:0.679, min:0.500, mean:0.605
 499: max:0.679, min:0.500, mean:0.607
 500: max:0.679, min:0.500, mean:0.611
 501: max:0.679, min:0.500, mean:0.611
 502: max:0.714, min:0.536, mean:0.619
 503: max:0.679, min:0.500, mean:0.626
 504: max:0.679, min:0.500, mean:0.629
 505: max:0.679, min:0.500, mean:0.629
 506: max:0.679, min:0.536, mean:0.628
 507: max:0.679, min:0.500, mean:0.628
 508: max:0.679, min:0.536, mean:0.623
 509: max:0.679, min:0.500, mean:0.624
 510: max:0.679, min:0.536, mean:0.620
 511: max:0.679, min:0.500, mean:0.615
 512: max:0.679, min:0.536, mean:0.618
 513: max:0.679, min:0.536, mean:0.618
 514: max:0.679, min:0.536, mean:0.619
 515: max:0.679, min:0.536, mean:0.612
 516: max:0.679, min:0.500, mean:0.611
 517: max:0.679, min:0.536, mean:0.617
 518: max:0.679, min:0.500, mean:0.611
 519: max:0.714, min:0.536, mean:0.610
 520: max:0.679, min:0.500, mean:0.603
 521: max:0.714, min:0.464, mean:0.606
 522: max:0.714, min:0.500, mean:0.605
 523: max:0.714, min:0.464, mean:0.612
 524: max:0.714, min:0.500, mean:0.610
 525: max:0.714, min:0.536, mean:0.618
 526: max:0.714, min:0.536, mean:0.622
 527: max:0.714, min:0.536, mean:0.621
 528: max:0.679, min:0.536, mean:0.623
 529: max:0.679, min:0.500, mean:0.618
 530: max:0.679, min:0.464, mean:0.611
 531: max:0.679, min:0.500, mean:0.610
 532: max:0.679, min:0.500, mean:0.607
