 364: max:0.679, min:0.536, mean:0.623
 365: max:0.679, min:0.536, mean:0.622
 366: max:0.679, min:0.536, mean:0.619
 367: max:0.679, min:0.536, mean:0.619
 368: max:0.679, min:0.500, mean:0.622
 369: max:0.714, min:0.464, mean:0.617
 370: max:0.714, min:0.500, mean:0.620
 371: max:0.714, min:0.536, mean:0.621
 372: max:0.714, min:0.536, mean:0.628
 373: max:0.714, min:0.536, mean:0.625
 374: max:0.714, min:0.500, mean:0.623
 375: max:0.714, min:0.536, mean:0.619
 376: max:0.679, min:0.500, mean:0.623
 377: max:0.679, min:0.536, mean:0.623
 378: max:0.679, min:0.536, mean:0.626
 379: max:0.714, min:0.500, mean:0.627
 380: max:0.714, min:0.536, mean:0.619
 381: max:0.679, min:0.536, mean:0.613
 382: max:0.679, min:0.536, mean:0.620
 383: max:0.679, min:0.500, mean:0.623
 384: max:0.679, min:0.464, mean:0.610
 385: max:0.679, min:0.464, mean:0.614
 386: max:0.679, min:0.500, mean:0.610
 387: max:0.679, min:0.500, mean:0.608
 388: max:0.679, min:0.500, mean:0.600
 389: max:0.679, min:0.536, mean:0.608
 390: max:0.679, min:0.536, mean:0.606
 391: max:0.679, min:0.464, mean:0.609
 392: max:0.679, min:0.500, mean:0.603
 393: max:0.679, min:0.500, mean:0.596
 394: max:0.679, min:0.464, mean:0.593
 395: max:0.679, min:0.464, mean:0.590
 396: max:0.679, min:0.464, mean:0.585
 397: max:0.643, min:0.500, mean:0.584
 398: max:0.643, min:0.464, mean:0.585
 399: max:0.643, min:0.429, mean:0.583
 400: max:0.643, min:0.500, mean:0.585
 401: max:0.643, min:0.464, mean:0.589
 402: max:0.643, min:0.464, mean:0.586
 403: max:0.643, min:0.500, mean:0.594
 404: max:0.679, min:0.500, mean:0.599
 405: max:0.679, min:0.500, mean:0.599
 406: max:0.679, min:0.464, mean:0.598
 407: max:0.679, min:0.500, mean:0.595
 408: max:0.679, min:0.464, mean:0.600
 409: max:0.679, min:0.500, mean:0.611
 410: max:0.679, min:0.464, mean:0.603
 411: max:0.679, min:0.464, mean:0.606
 412: max:0.679, min:0.500, mean:0.611
 413: max:0.679, min:0.500, mean:0.611
 414: max:0.714, min:0.500, mean:0.614
 415: max:0.714, min:0.536, mean:0.623
 416: max:0.714, min:0.500, mean:0.624
 417: max:0.714, min:0.536, mean:0.619
 418: max:0.714, min:0.536, mean:0.624
 419: max:0.714, min:0.500, mean:0.622
 420: max:0.714, min:0.536, mean:0.622
 421: max:0.714, min:0.500, mean:0.620
 422: max:0.714, min:0.500, mean:0.625
 423: max:0.714, min:0.500, mean:0.615
 424: max:0.714, min:0.500, mean:0.612
 425: max:0.714, min:0.536, mean:0.620
 426: max:0.714, min:0.500, mean:0.625
 427: max:0.714, min:0.500, mean:0.632
 428: max:0.714, min:0.536, mean:0.638
 429: max:0.714, min:0.500, mean:0.638
 430: max:0.714, min:0.571, mean:0.647
 431: max:0.714, min:0.536, mean:0.644
 432: max:0.714, min:0.536, mean:0.641
 433: max:0.714, min:0.536, mean:0.644
 434: max:0.714, min:0.536, mean:0.639
 435: max:0.714, min:0.536, mean:0.647
 436: max:0.714, min:0.536, mean:0.641
 437: max:0.714, min:0.536, mean:0.643
 438: max:0.714, min:0.536, mean:0.649
 439: max:0.714, min:0.536, mean:0.651
 440: max:0.714, min:0.536, mean:0.649
 441: max:0.714, min:0.536, mean:0.649
 442: max:0.714, min:0.536, mean:0.644
 443: max:0.714, min:0.536, mean:0.643
 444: max:0.714, min:0.571, mean:0.653
 445: max:0.714, min:0.536, mean:0.654
 446: max:0.714, min:0.536, mean:0.649
 447: max:0.714, min:0.536, mean:0.649
 448: max:0.714, min:0.571, mean:0.650
 449: max:0.714, min:0.571, mean:0.652
 450: max:0.714, min:0.500, mean:0.650
 451: max:0.714, min:0.500, mean:0.646
 452: max:0.714, min:0.571, mean:0.652
 453: max:0.714, min:0.536, mean:0.652
 454: max:0.714, min:0.571, mean:0.657
 455: max:0.750, min:0.536, mean:0.652
 456: max:0.750, min:0.464, mean:0.646
 457: max:0.750, min:0.536, mean:0.656
 458: max:0.750, min:0.571, mean:0.663
 459: max:0.750, min:0.571, mean:0.660
 460: max:0.750, min:0.571, mean:0.657
 461: max:0.750, min:0.536, mean:0.648
 462: max:0.750, min:0.500, mean:0.649
 463: max:0.714, min:0.571, mean:0.651
 464: max:0.714, min:0.500, mean:0.641
 465: max:0.714, min:0.536, mean:0.639
 466: max:0.714, min:0.536, mean:0.637
 467: max:0.714, min:0.500, mean:0.639
 468: max:0.679, min:0.500, mean:0.635
 469: max:0.714, min:0.500, mean:0.625
 470: max:0.714, min:0.536, mean:0.635
 471: max:0.714, min:0.536, mean:0.639
 472: max:0.714, min:0.536, mean:0.636
 473: max:0.714, min:0.536, mean:0.636
 474: max:0.714, min:0.536, mean:0.640
 475: max:0.714, min:0.536, mean:0.634
 476: max:0.679, min:0.536, mean:0.631
 477: max:0.679, min:0.500, mean:0.626
 478: max:0.679, min:0.500, mean:0.621
 479: max:0.679, min:0.536, mean:0.620
 480: max:0.679, min:0.500, mean:0.618
 481: max:0.714, min:0.536, mean:0.615
 482: max:0.714, min:0.464, mean:0.613
 483: max:0.714, min:0.500, mean:0.621
 484: max:0.714, min:0.536, mean:0.629
 485: max:0.679, min:0.536, mean:0.632
 486: max:0.679, min:0.536, mean:0.631
 487: max:0.679, min:0.500, mean:0.621
 488: max:0.679, min:0.500, mean:0.619
 489: max:0.679, min:0.536, mean:0.612
 490: max:0.679, min:0.500, mean:0.613
 491: max:0.679, min:0.500, mean:0.610
 492: max:0.679, min:0.464, mean:0.603
 493: max:0.679, min:0.464, mean:0.611
 494: max:0.679, min:0.500, mean:0.609
 495: max:0.679, min:0.500, mean:0.611
 496: max:0.679, min:0.536, mean:0.609
 497: max:0.679, min:0.500, mean:0.605
 498: max:0.679, min:0.500, mean:0.598
 499: max:0.643, min:0.500, mean:0.601
 500: max:0.643, min:0.500, mean:0.598
 501: max:0.679, min:0.464, mean:0.596
 502: max:0.714, min:0.500, mean:0.589
 503: max:0.714, min:0.464, mean:0.588
 504: max:0.714, min:0.500, mean:0.591
 505: max:0.714, min:0.500, mean:0.599
 506: max:0.714, min:0.500, mean:0.606
