 536: max:0.750, min:0.571, mean:0.674
 537: max:0.714, min:0.571, mean:0.672
 538: max:0.750, min:0.536, mean:0.667
 539: max:0.750, min:0.536, mean:0.663
 540: max:0.750, min:0.607, mean:0.671
 541: max:0.750, min:0.536, mean:0.673
 542: max:0.750, min:0.536, mean:0.667
 543: max:0.750, min:0.500, mean:0.663
 544: max:0.750, min:0.571, mean:0.665
 545: max:0.750, min:0.536, mean:0.655
 546: max:0.750, min:0.536, mean:0.660
 547: max:0.750, min:0.571, mean:0.669
 548: max:0.750, min:0.571, mean:0.671
 549: max:0.750, min:0.500, mean:0.663
 550: max:0.750, min:0.536, mean:0.668
 551: max:0.750, min:0.500, mean:0.666
 552: max:0.750, min:0.536, mean:0.674
 553: max:0.750, min:0.500, mean:0.671
 554: max:0.786, min:0.571, mean:0.680
 555: max:0.786, min:0.571, mean:0.682
 556: max:0.786, min:0.571, mean:0.686
 557: max:0.786, min:0.571, mean:0.679
 558: max:0.786, min:0.571, mean:0.674
 559: max:0.786, min:0.536, mean:0.669
 560: max:0.786, min:0.571, mean:0.675
 561: max:0.750, min:0.571, mean:0.671
 562: max:0.750, min:0.500, mean:0.672
 563: max:0.750, min:0.571, mean:0.668
 564: max:0.714, min:0.571, mean:0.664
 565: max:0.714, min:0.500, mean:0.652
 566: max:0.714, min:0.464, mean:0.645
 567: max:0.750, min:0.536, mean:0.647
 568: max:0.714, min:0.571, mean:0.644
 569: max:0.714, min:0.500, mean:0.637
 570: max:0.714, min:0.536, mean:0.639
 571: max:0.714, min:0.536, mean:0.639
 572: max:0.714, min:0.500, mean:0.638
 573: max:0.714, min:0.536, mean:0.637
 574: max:0.714, min:0.536, mean:0.639
 575: max:0.714, min:0.536, mean:0.639
 576: max:0.714, min:0.500, mean:0.643
 577: max:0.714, min:0.536, mean:0.641
 578: max:0.714, min:0.536, mean:0.640
 579: max:0.714, min:0.536, mean:0.637
 580: max:0.714, min:0.536, mean:0.635
 581: max:0.750, min:0.500, mean:0.634
 582: max:0.750, min:0.536, mean:0.641
 583: max:0.750, min:0.500, mean:0.648
 584: max:0.750, min:0.536, mean:0.655
 585: max:0.714, min:0.500, mean:0.652
 586: max:0.714, min:0.571, mean:0.660
 587: max:0.714, min:0.571, mean:0.660
 588: max:0.714, min:0.571, mean:0.665
 589: max:0.750, min:0.571, mean:0.665
 590: max:0.750, min:0.571, mean:0.661
 591: max:0.750, min:0.500, mean:0.652
 592: max:0.714, min:0.536, mean:0.652
 593: max:0.714, min:0.536, mean:0.651
 594: max:0.714, min:0.536, mean:0.642
 595: max:0.714, min:0.536, mean:0.648
 596: max:0.714, min:0.536, mean:0.655
 597: max:0.714, min:0.571, mean:0.659
 598: max:0.714, min:0.571, mean:0.659
 599: max:0.714, min:0.536, mean:0.658
 600: max:0.714, min:0.571, mean:0.661
 601: max:0.714, min:0.571, mean:0.662
 602: max:0.714, min:0.571, mean:0.663
 603: max:0.714, min:0.571, mean:0.659
 604: max:0.714, min:0.536, mean:0.653
 605: max:0.714, min:0.571, mean:0.654
 606: max:0.714, min:0.536, mean:0.653
 607: max:0.714, min:0.571, mean:0.649
 608: max:0.714, min:0.536, mean:0.647
 609: max:0.714, min:0.464, mean:0.644
 610: max:0.714, min:0.500, mean:0.637
 611: max:0.714, min:0.536, mean:0.641
 612: max:0.714, min:0.464, mean:0.633
 613: max:0.714, min:0.536, mean:0.631
 614: max:0.714, min:0.536, mean:0.632
 615: max:0.714, min:0.500, mean:0.634
 616: max:0.714, min:0.536, mean:0.636
 617: max:0.714, min:0.500, mean:0.638
 618: max:0.714, min:0.536, mean:0.646
 619: max:0.714, min:0.536, mean:0.650
 620: max:0.714, min:0.536, mean:0.651
 621: max:0.714, min:0.536, mean:0.652
 622: max:0.714, min:0.571, mean:0.654
 623: max:0.714, min:0.536, mean:0.648
 624: max:0.714, min:0.536, mean:0.646
 625: max:0.714, min:0.536, mean:0.641
 626: max:0.714, min:0.536, mean:0.644
 627: max:0.714, min:0.571, mean:0.638
 628: max:0.714, min:0.500, mean:0.629
 629: max:0.714, min:0.500, mean:0.628
 630: max:0.714, min:0.536, mean:0.634
 631: max:0.714, min:0.536, mean:0.632
 632: max:0.714, min:0.500, mean:0.630
 633: max:0.714, min:0.536, mean:0.629
 634: max:0.714, min:0.500, mean:0.633
 635: max:0.714, min:0.500, mean:0.636
 636: max:0.714, min:0.500, mean:0.630
